There are at least 134 named mountains in Sanders County, Montana.

Andy's Knob, 47°32′40″N 115°37′59″W, el. 5,180 feet (1,580 m)
B Peak, 47°50′39″N 115°15′25″W, el. 6,040 feet (1,840 m)
Bald Eagle Peak, 48°07′27″N 115°38′57″W, el. 7,523 feet (2,293 m)
Baldy Mountain, 47°37′18″N 114°49′29″W, el. 7,461 feet (2,274 m)
Basin Peak, 47°45′35″N 115°08′24″W, el. 5,732 feet (1,747 m)
Bassoo Peak, 47°51′04″N 114°47′17″W, el. 6,381 feet (1,945 m)
Beaver Peak, 47°37′24″N 115°40′02″W, el. 6,640 feet (2,020 m)
Beaver Peak, 48°02′35″N 116°01′43″W, el. 4,331 feet (1,320 m)
Beecher Peak, 47°50′15″N 115°40′52″W, el. 4,475 feet (1,364 m)
Benson Peak, 47°48′54″N 115°14′38″W, el. 6,680 feet (2,040 m)
Berray Mountain, 48°08′21″N 115°49′44″W, el. 6,174 feet (1,882 m)
Big Hole Peak, 47°36′22″N 115°04′32″W, el. 6,877 feet (2,096 m)
Billiard Table, 48°07′17″N 115°56′35″W, el. 6,509 feet (1,984 m)
Black Peak, 47°42′42″N 115°44′32″W, el. 6,526 feet (1,989 m)
Blackrock Peak, 47°12′42″N 114°26′12″W, el. 7,556 feet (2,303 m)
Blacktail Peak, 47°55′03″N 115°20′07″W, el. 6,102 feet (1,860 m)
Bloom Peak, 47°45′20″N 115°49′51″W, el. 5,791 feet (1,765 m)
Border Peak, 47°54′07″N 115°09′15″W, el. 5,420 feet (1,650 m)
Bottle Point, 47°52′35″N 115°56′06″W, el. 6,243 feet (1,903 m)
Burke Hill, 47°34′18″N 114°40′20″W, el. 4,452 feet (1,357 m)
Burke Summit, 47°31′02″N 115°42′42″W, el. 6,575 feet (2,004 m)
Canyon Peak, 47°54′33″N 115°31′31″W, el. 6,279 feet (1,914 m)
Castle Rock, 47°40′35″N 115°19′25″W, el. 5,545 feet (1,690 m)
Cataract Peak, 47°48′03″N 115°23′59″W, el. 6,204 feet (1,891 m)
Cherry Peak, 47°29′26″N 115°09′59″W, el. 7,165 feet (2,184 m)
Chicago Peak, 48°04′25″N 115°41′11″W, el. 6,814 feet (2,077 m)
Chimney Rock, 48°00′25″N 115°50′40″W, el. 4,288 feet (1,307 m)
Clark Mountain, 47°32′32″N 115°18′46″W, el. 5,046 feet (1,538 m)
Clear Peak, 47°37′03″N 115°39′29″W, el. 6,696 feet (2,041 m)
Combest Peak, 47°22′31″N 114°57′15″W, el. 5,600 feet (1,700 m)
Communion Butte, 47°20′31″N 114°19′48″W, el. 3,445 feet (1,050 m)
Coney Peak, 47°40′58″N 114°46′06″W, el. 6,171 feet (1,881 m)
Cook Mountain, 47°45′14″N 114°55′15″W, el. 6,719 feet (2,048 m)
